id,name,longitude,latitude,north,east
1,서울특별시 강남구 개포동,127.057440206035,37.4819251305595,4150108.17601028,328246.99697792367
2,서울특별시 강남구 논현동,127.030154778539,37.5126451506882,4153567.0069553717,325905.6522130155
3,서울특별시 강남구 대치동,127.056693501258,37.4932421505467,4151365.2654512394,328206.90005306527
4,서울특별시 강남구 도곡동,127.038482017226,37.4909537197218,4151144.750484241,326591.5030209685
5,서울특별시 강남구 삼성동,127.062831022499,37.514322572329,4153693.1450024047,328797.69208572595
6,서울특별시 강남구 세곡동,127.106760267266,37.4644437055763,4148079.6067198394,332569.08270289283
7,서울특별시 강남구 수서동,127.105003972121,37.4888878594165,4150795.008430174,332468.348197844
8,서울특별시 강남구 신사동,127.02277448907,37.5239850298543,4154838.970228835,325279.772177179
9,서울특별시 강남구 압구정동,127.030809170421,37.5306686414269,4155565.6844805176,326005.37289772974
10,서울특별시 강남구 역삼동,127.03306536185,37.4953666908089,4151644.4086251534,326122.8287289804
11,서울특별시 강남구 율현동,127.115817745643,37.4709765124343,4148788.4039171194,333384.67345248547
12,서울특별시 강남구 일원동,127.080430036811,37.4795654903151,4149804.6458773967,330274.52228264394
13,서울특별시 강남구 자곡동,127.092180565565,37.473390398797,4149098.3429111177,331299.70062749233
14,서울특별시 강남구 청담동,127.049237564785,37.525029332991,4154905.9982306715,327620.858831826
15,서울특별시 강동구 강일동,127.173919661642,37.564944692054,4159113.646020611,338725.4450809966
16,서울특별시 강동구 고덕동,127.155939319817,37.5641661222506,4159058.277501179,337135.6321050882
17,서울특별시 강동구 길동,127.146210897573,37.5392317533412,4156308.503339129,336221.7798520741
18,서울특별시 강동구 둔촌동,127.142354524933,37.527188288761,4154978.9058427815,335854.6421013199
19,서울특별시 강동구 명일동,127.150304746486,37.5494403330957,4157434.106565229,336605.7867138472
20,서울특별시 강동구 상일동,127.168300419218,37.5505837474646,4157529.8400292965,338198.06196817197
21,서울특별시 강동구 성내동,127.130026914568,37.5292748071427,4155232.016933053,334769.85329431796
22,서울특별시 강동구 암사동,127.13168588897,37.5591140475276,4158540.028812233,334982.26674997003
23,서울특별시 강동구 천호동,127.12866892591,37.542221863425,4156670.9930881895,334678.4475215234
24,서울특별시 강북구 미아동,127.027060776679,37.6270831294022,4166270.890186187,325898.8880859554
25,서울특별시 강북구 번동,127.04133717608,37.6241057350225,4165914.1114312415,327151.9312469554
26,서울특별시 강북구 수유동,127.022094520762,37.6424621841483,4167986.612546751,325496.584701353
27,서울특별시 강북구 우이동,127.001890452891,37.6630390800114,4170307.674833779,323762.53010773053
28,서울특별시 강서구 가양동,126.84732341674,37.5693673262879,4160215.29454215,309889.3322464394
29,서울특별시 강서구 개화동,126.810864581737,37.5913312008972,4162726.9471902396,306725.9378992978
30,서울특별시 강서구 공항동,126.810109136838,37.5588726032733,4159126.734049764,306575.2449744817
31,서울특별시 강서구 과해동,126.787712416395,37.5656027325697,4159919.898587791,304614.36176879576
32,서울특별시 강서구 내발산동,126.83326640676,37.5543737621718,4158580.091821539,308609.38004636066
33,서울특별시 강서구 등촌동,126.843670821456,37.562237476114,4159431.536415652,309548.55713643687
34,서울특별시 강서구 마곡동,126.830205192607,37.5747859514344,4160851.36038367,308391.2646600845
35,서울특별시 강서구 방화동,126.811820803059,37.571309073515,4160503.2216180447,306758.59635351645
36,서울특별시 강서구 염창동,126.870985348962,37.5537362431352,4158433.177294865,311939.9454348211
37,서울특별시 강서구 오곡동,126.783116898869,37.5515676820463,4158372.065625133,304171.6901044829
38,서울특별시 강서구 오쇠동,126.797918436909,37.5434597373437,4157441.6197142275,305458.26784259523
39,서울특별시 강서구 외발산동,126.82085631674,37.5438427469629,4157436.87903766,307485.9432689877
40,서울특별시 강서구 화곡동,126.848952280488,37.5362848031695,4156541.0319688157,309949.16138001136
41,서울특별시 관악구 남현동,126.977846469625,37.474566758872,4149439.9259607443,321191.3610502038
42,서울특별시 관악구 봉천동,126.952165181187,37.482538491727,4150373.573389519,318939.4898665909
43,서울특별시 관악구 신림동,126.927123713685,37.4874127684412,4150962.905117665,316737.0955859761
44,서울특별시 광진구 광장동,127.103025712709,37.5468565308905,4157230.668290364,332423.17985341325
45,서울특별시 광진구 구의동,127.093135225891,37.5502741239803,4157627.5655689836,331557.0748703523
46,서울특별시 광진구 군자동,127.075902795587,37.5551446392215,4158199.0274049034,330045.7657176922
47,서울특별시 광진구 능동,127.080536887135,37.5537792609499,4158039.1529084104,330452.03698578686
48,서울특별시 광진구 자양동,127.073018338792,37.5311077958689,4155537.1266305116,329736.277741492
