id,name,phone,address,longitude,latitude
8808990646701,농협하나로유통,,,,
8808990239309,농협유통,,,,
8808990239330,농협부산경남유통,,,,
8808990239361,농협대전유통,,,,
8808990665375,농협충북유통,,,,
8808983620244,가남농협 하나로마트,031-885-9526, 경기 여주시 가남읍 경충대로 1342,127.543313,37.207642
8808983680545,가락농협 하나로마트 본점,051-972-2560,"",128.901509,35.195597
8808983641997,가산농협 하나로마트,054-971-4026,"",128.539194,36.086262
8808983622439,가산농협 하나로마트 내촌점,031-531-9746,"",127.200368,37.894985
8808983622422,가산농협 하나로마트 본점,031-544-0104,"",127.187620,37.847568
8808983630571,가야농협 하나로마트,055-583-2481,"",128.405861,35.275101
8808983630519,가야농협 하나로마트 함읍점,055-583-4014,"",128.422878,35.241447
8808983660462,가창농협 하나로마트,053-768-6500,"",128.623162,35.803981
8808983622590,가평군농협 하나로마트,031-581-2390,"",127.512713,37.830737
8808983623900,가평군농협 하나로마트 북면점,031-582-2160,"",127.548992,37.883916
8808983622606,가평군농협 하나로마트 설악점,031-585-8136,"",127.491384,37.677471
8808983323688,가평군농협 하나로마트 자라점,031-582-9720,"",127.515107,37.813925
8808983623832,가평군농협 하나로마트 청평점,031-584-3346,"",127.415260,37.735019
8808983624020,가평군농협 하나로마트 하면점,031-585-7750,"",127.348810,37.817754
8808983610986,간동농협 하나로마트 본점,033-442-5034,"",127.815896,38.053215
8808983610948,갈말농협 하나로마트 본점,033-452-6222,"",127.309890,38.145575
8808983751399,갈산농협 하나로마트,041-633-1531,"",126.551534,36.602457
8808983760216,감곡농협 하나로마트 본점,043-881-2489,"",127.640120,37.118088
8808983642178,감문농협 하나로마트 배시내점,054-430-5591,"",128.229412,36.191345
8808983642192,감문농협 하나로마트 본점,054-430-5009,"",128.188650,36.214552
8808983750705,강경농협 하나로마트 태평점,041-745-5502,"",127.015483,36.160362
8808983303932,강구농협 하나로마트,054-734-6567,"",129.378377,36.359578
8808983640792,강구농협 하나로마트 남정점,054-732-5224,"",129.373337,36.286343
8808983640709,강구농협 하나로마트 달산점,054-732-3526,"",129.303441,36.399864
8808983769042,강내농협 하나로마트,043-239-0772,"",127.356630,36.623077
8808983641140,강동농협 하나로마트,054-762-1931,"",129.275338,35.990619
8808983690131,강동농협 하나로마트,02-440-3154,"",127.123858,37.530120
8808983321554,강동농협 하나로마트 둔촌역점,02-479-4244,"",127.134788,37.525146
8808983321738,강동농협 하나로마트 양동점,054-762-6803,"",129.254175,35.996655
8808983611433,강릉농협 하나로마트 강동점,033-645-7451,"",128.954217,37.727003
8808983611341,강릉농협 하나로마트 고단점,033-647-8603,"",128.848067,37.521188
8808983611464,강릉농협 하나로마트 구정점,033-644-7581,"",128.882882,37.719963
8808983611334,강릉농협 하나로마트 대기점,033-647-2621,"",128.777394,37.586424
8808983611389,강릉농협 하나로마트 사업소,033-645-0363,"",128.901561,37.754304
8808983611426,강릉농협 하나로마트 성산점,033-641-9351,"",128.832511,37.719248
8808983611327,강릉농협 하나로마트 왕산점,033-648-8020,"",128.837562,37.672116
8808983611419,강릉농협 하나로마트 임당점,033-645-9710,"",128.891810,37.756937
8808983611440,강릉농협 하나로마트 정동점,033-644-5575,"",129.033312,37.688133
8808983611310,강릉사천농협 하나로마트 본점,033-641-8253,"",128.849323,37.823574
8808983611471,강릉원예농협 하나로마트,033-647-5573,"",128.886901,37.757307
8808983611488,강릉원예농협 하나로마트 금학점,033-646-5801,"",128.897997,37.754241
8808983307312,강릉원예농협 하나로마트 초당점,033-653-8912,"",128.916037,37.779781
8808983617565,강릉축협 하나로마트 내곡점,033-655-9995,"",128.880719,37.741279
8808983617107,강릉축협 하나로마트 성남점,033-646-0006,"",128.899545,37.752769
8808983617114,강릉축협하나로마트포남점,033-646-0005,"",128.905157,37.766287
8808983690247,강서농협 하나로마트,02-2669-6000,"",126.811825,37.576715
8808983690285,강서농협 하나로마트 가양점,02-3661-0246,"",126.841084,37.569014
8808983617503,강원양돈농협 하나로마트 대학로점,033-655-2212,"",128.895426,37.753756
8808983617404,강원양돈농협 하나로마트 본점,033-655-2216,"",128.877269,37.763335
8808983617442,강원양돈농협 하나로마트 성덕점,033-647-2215,"",128.924530,37.757126
8808983617428,강원양돈농협 하나로마트 송정점,033-651-2212,"",128.911803,37.770560
8808983328287,강원양돈농협 하나로마트 유천점,033-642-2212, 강원도 강릉시 선수촌로 63번길 18-8,128.869450,37.757100
8808983617411,강원양돈농협 하나로마트 주문진점,033-662-2212,"",128.827407,37.890197
8808983721606,강진남부농협 하나로마트 대구점,061-433-2524,"",126.800298,34.495810
8808983721590,강진남부농협 하나로마트 본점,061-432-7051,"",126.799404,34.571749
8808983721576,강진농협 파머스마켓,061-433-8422, 전남 강진군 강진읍 보은로 152,126.774909,34.638339
8808983721569,강진농협 하나로마트,061-433-4355,"",126.770452,34.639511
8808983721583,강진농협 하나로마트 군동지점,061-433-5584,"",126.815507,34.644185
8808983721644,강진농협 하나로마트 성전점,061-432-5700,"",126.711485,34.689923
8808983721620,강진도암농협 하나로마트,061-432-0555,"",126.727805,34.547397
